crash_dim_id,crash_id,crash_type
1,20241115,Single
2,20241125,Single
3,20246013,Multiple
4,20241002,Multiple
5,20243185,Multiple
6,20244016,Single
7,20245001,Single
8,20243168,Multiple
9,20246003,Multiple
10,20246001,Multiple
11,20244081,Single
12,20241087,Single
13,20241054,Multiple
14,20244042,Single
15,20243246,Single
16,20248007,Single
17,20241101,Single
18,20241216,Single
19,20241300,Multiple
20,20243007,Multiple
21,20241278,Single
22,20245005,Single
23,20241149,Single
24,20247029,Single
25,20245143,Single
26,20245039,Single
27,20242087,Single
28,20241068,Multiple
29,20243273,Single
30,20245045,Single
31,20245093,Single
32,20244020,Multiple
33,20244055,Multiple
34,20245100,Single
35,20241094,Multiple
36,20243160,Multiple
37,20243209,Multiple
38,20244001,Multiple
39,20243243,Multiple
40,20245119,Single
41,20246016,Single
42,20241119,Multiple
43,20245133,Single
44,20245069,Single
45,20241169,Single
46,20245161,Single
47,20241291,Multiple
48,20243036,Single
49,20244026,Single
50,20241077,Single
51,20241028,Multiple
52,20241022,Single
53,20243015,Multiple
54,20245068,Single
55,20244023,Single
56,20241098,Single
57,20243114,Single
58,20245092,Single
59,20241040,Multiple
60,20242188,Single
61,20241174,Multiple
62,20241088,Multiple
63,20245031,Single
64,20242136,Multiple
65,20241255,Multiple
66,20241053,Single
67,20243046,Single
68,20245107,Single
69,20241080,Single
70,20245130,Single
71,20243044,Multiple
72,20246009,Multiple
73,20241274,Multiple
74,20241240,Single
75,20243176,Single
76,20245006,Single
77,20241181,Single
78,20243110,Single
79,20242037,Single
80,20244044,Single
81,20243090,Single
82,20243147,Single
83,20245083,Single
84,20244019,Single
85,20241194,Multiple
86,20241139,Multiple
87,20241197,Multiple
88,20243220,Single
89,20243267,Multiple
90,20241057,Single
91,20245164,Single
92,20243174,Multiple
93,20242148,Multiple
94,20241166,Single
95,20247011,Single
96,20243213,Multiple
97,20241096,Single
98,20242089,Multiple
99,20245012,Single
100,20245070,Single
101,20243073,Single
102,20242264,Multiple
103,20241027,Single
104,20242018,Multiple
105,20241163,Single
106,20243143,Single
107,20241222,Multiple
108,20241218,Single
109,20243249,Single
110,20243098,Multiple
111,20242193,Single
112,20241306,Single
113,20247002,Multiple
114,20243037,Single
115,20244083,Single
116,20245145,Single
117,20241196,Multiple
118,20244028,Multiple
119,20243038,Single
120,20242023,Multiple
121,20242230,Multiple
122,20242127,Multiple
123,20242120,Single
124,20241106,Multiple
125,20241230,Single
126,20241055,Single
127,20241267,Multiple
128,20242260,Multiple
129,20242158,Single
130,20242057,Single
131,20242163,Single
132,20245098,Single
133,20243153,Multiple
134,20242161,Single
135,20241236,Multiple
136,20243172,Single
137,20245162,Single
138,20242213,Single
139,20242005,Single
140,20241188,Single
141,20245056,Single
142,20245008,Single
143,20242114,Multiple
144,20243191,Multiple
145,20241256,Multiple
146,20247006,Single
147,20242207,Single
148,20242019,Multiple
149,20243008,Multiple
150,20243001,Single
151,20243041,Single
152,20244021,Single
153,20243113,Single
154,20242050,Single
155,20242004,Multiple
156,20241107,Single
157,20243022,Single
158,20248002,Single
159,20242088,Single
160,20241173,Single
161,20241004,Single
162,20246004,Multiple
163,20241201,Multiple
164,20242124,Single
165,20241029,Single
166,20243005,Multiple
167,20241261,Multiple
168,20244024,Single
169,20245004,Single
170,20245134,Single
171,20241215,Multiple
172,20243186,Single
173,20248006,Single
174,20243208,Single
175,20241134,Multiple
176,20243040,Multiple
177,20241263,Single
178,20241302,Single
179,20241147,Single
180,20243248,Multiple
181,20243096,Single
182,20241150,Multiple
183,20241247,Multiple
184,20242051,Multiple
185,20242174,Multiple
186,20241234,Multiple
187,20242110,Multiple
188,20242052,Multiple
189,20243247,Single
190,20243144,Multiple
191,20242013,Single
192,20242008,Single
193,20241235,Multiple
194,20243087,Single
195,20244061,Multiple
196,20241009,Single
197,20241072,Multiple
198,20243129,Multiple
199,20242219,Multiple
200,20241219,Multiple
201,20244010,Multiple
202,20244040,Single
203,20243171,Single
204,20242075,Single
205,20243079,Single
206,20245103,Single
207,20242068,Multiple
208,20241045,Multiple
209,20243017,Multiple
210,20242128,Single
211,20247024,Single
212,20241160,Multiple
213,20241081,Multiple
214,20242103,Multiple
215,20241135,Multiple
216,20241209,Multiple
217,20245051,Single
218,20242140,Single
219,20242142,Single
220,20243107,Multiple
221,20243020,Multiple
222,20241151,Single
223,20243158,Multiple
224,20241286,Multiple
225,20243102,Multiple
226,20241303,Single
227,20246029,Single
228,20248005,Single
229,20243035,Single
230,20244018,Single
231,20241060,Single
232,20242022,Multiple
233,20241037,Single
234,20241257,Single
235,20241128,Single
236,20243089,Single
237,20242181,Single
238,20243082,Multiple
239,20245080,Single
240,20243150,Multiple
241,20245041,Single
242,20242152,Multiple
243,20247010,Single
244,20245088,Single
245,20243170,Single
246,20243239,Single
247,20242040,Single
248,20243084,Multiple
249,20241030,Single
250,20245016,Single
251,20243127,Multiple
252,20243003,Multiple
253,20243266,Single
254,20241042,Single
255,20243121,Single
256,20245124,Single
257,20245043,Single
258,20245044,Single
259,20241175,Multiple
260,20245061,Single
261,20243072,Single
262,20242232,Single
263,20244057,Single
264,20242173,Single
265,20241091,Single
266,20243201,Multiple
267,20242135,Multiple
268,20243225,Single
269,20245116,Single
270,20241167,Multiple
271,20244060,Single
272,20241268,Multiple
273,20244013,Multiple
274,20245002,Single
275,20243235,Multiple
276,20244059,Multiple
277,20245015,Single
278,20241266,Single
279,20243131,Single
280,20245111,Single
281,20242080,Single
282,20245160,Single
283,20241287,Multiple
284,20241152,Single
285,20243161,Multiple
286,20242042,Single
287,20243210,Single
288,20244025,Single
289,20243088,Single
290,20241211,Multiple
291,20242007,Multiple
292,20247050,Multiple
293,20245037,Single
294,20241204,Multiple
295,20244062,Single
296,20241137,Multiple
297,20243117,Multiple
298,20242081,Multiple
299,20242015,Multiple
300,20243206,Multiple
301,20242034,Single
302,20248003,Single
303,20244032,Multiple
304,20241153,Multiple
305,20242138,Multiple
306,20243198,Single
307,20243190,Single
308,20242107,Single
309,20243080,Single
310,20242204,Multiple
311,20242139,Single
312,20245086,Single
313,20247026,Single
314,20245063,Single
315,20241103,Single
316,20247025,Single
317,20242129,Single
318,20244027,Multiple
319,20243006,Single
320,20243108,Multiple
321,20243212,Multiple
322,20241237,Single
323,20241052,Single
324,20241308,Single
325,20246027,Single
326,20244072,Single
327,20245125,Single
328,20241195,Single
329,20244043,Multiple
330,20241102,Multiple
331,20243194,Single
332,20245148,Single
333,20246017,Multiple
334,20243070,Multiple
335,20243165,Multiple
336,20241063,Multiple
337,20241132,Multiple
338,20241292,Multiple
339,20245141,Single
340,20241189,Single
341,20241233,Multiple
342,20242115,Single
343,20242167,Multiple
344,20241016,Single
345,20243234,Multiple
346,20246025,Single
347,20241220,Multiple
348,20243002,Multiple
349,20241034,Multiple
