time_id,year,month,season
1,1989,1,Summer
2,1989,2,Summer
3,1989,3,Autumn
4,1989,4,Autumn
5,1989,5,Autumn
6,1989,6,Winter
7,1989,7,Winter
8,1989,8,Winter
9,1989,9,Spring
10,1989,10,Spring
11,1989,11,Spring
12,1989,12,Summer
13,1990,1,Summer
14,1990,2,Summer
15,1990,3,Autumn
16,1990,4,Autumn
17,1990,5,Autumn
18,1990,6,Winter
19,1990,7,Winter
20,1990,8,Winter
21,1990,9,Spring
22,1990,10,Spring
23,1990,11,Spring
24,1990,12,Summer
25,1991,1,Summer
26,1991,2,Summer
27,1991,3,Autumn
28,1991,4,Autumn
29,1991,5,Autumn
30,1991,6,Winter
31,1991,7,Winter
32,1991,8,Winter
33,1991,9,Spring
34,1991,10,Spring
35,1991,11,Spring
36,1991,12,Summer
37,1992,1,Summer
38,1992,2,Summer
39,1992,3,Autumn
40,1992,4,Autumn
41,1992,5,Autumn
42,1992,6,Winter
43,1992,7,Winter
44,1992,8,Winter
45,1992,9,Spring
46,1992,10,Spring
47,1992,11,Spring
48,1992,12,Summer
49,1993,1,Summer
50,1993,2,Summer
51,1993,3,Autumn
52,1993,4,Autumn
53,1993,5,Autumn
54,1993,6,Winter
55,1993,7,Winter
56,1993,8,Winter
57,1993,9,Spring
58,1993,10,Spring
59,1993,11,Spring
60,1993,12,Summer
61,1994,1,Summer
62,1994,2,Summer
63,1994,3,Autumn
64,1994,4,Autumn
65,1994,5,Autumn
66,1994,6,Winter
67,1994,7,Winter
68,1994,8,Winter
69,1994,9,Spring
70,1994,10,Spring
71,1994,11,Spring
72,1994,12,Summer
73,1995,1,Summer
74,1995,2,Summer
75,1995,3,Autumn
76,1995,4,Autumn
77,1995,5,Autumn
78,1995,6,Winter
79,1995,7,Winter
80,1995,8,Winter
81,1995,9,Spring
82,1995,10,Spring
83,1995,11,Spring
84,1995,12,Summer
85,1996,1,Summer
86,1996,2,Summer
87,1996,3,Autumn
88,1996,4,Autumn
89,1996,5,Autumn
90,1996,6,Winter
91,1996,7,Winter
92,1996,8,Winter
93,1996,9,Spring
94,1996,10,Spring
95,1996,11,Spring
96,1996,12,Summer
97,1997,1,Summer
98,1997,2,Summer
99,1997,3,Autumn
100,1997,4,Autumn
101,1997,5,Autumn
102,1997,6,Winter
103,1997,7,Winter
104,1997,8,Winter
105,1997,9,Spring
106,1997,10,Spring
107,1997,11,Spring
108,1997,12,Summer
109,1998,1,Summer
110,1998,2,Summer
111,1998,3,Autumn
112,1998,4,Autumn
113,1998,5,Autumn
114,1998,6,Winter
115,1998,7,Winter
116,1998,8,Winter
117,1998,9,Spring
118,1998,10,Spring
119,1998,11,Spring
120,1998,12,Summer
121,1999,1,Summer
122,1999,2,Summer
123,1999,3,Autumn
124,1999,4,Autumn
125,1999,5,Autumn
126,1999,6,Winter
127,1999,7,Winter
128,1999,8,Winter
129,1999,9,Spring
130,1999,10,Spring
131,1999,11,Spring
132,1999,12,Summer
133,2000,1,Summer
134,2000,2,Summer
135,2000,3,Autumn
136,2000,4,Autumn
137,2000,5,Autumn
138,2000,6,Winter
139,2000,7,Winter
140,2000,8,Winter
141,2000,9,Spring
142,2000,10,Spring
143,2000,11,Spring
144,2000,12,Summer
145,2001,1,Summer
146,2001,2,Summer
147,2001,3,Autumn
148,2001,4,Autumn
149,2001,5,Autumn
150,2001,6,Winter
151,2001,7,Winter
152,2001,8,Winter
153,2001,9,Spring
154,2001,10,Spring
155,2001,11,Spring
156,2001,12,Summer
157,2002,1,Summer
158,2002,2,Summer
159,2002,3,Autumn
160,2002,4,Autumn
161,2002,5,Autumn
162,2002,6,Winter
163,2002,7,Winter
164,2002,8,Winter
165,2002,9,Spring
166,2002,10,Spring
167,2002,11,Spring
168,2002,12,Summer
169,2003,1,Summer
170,2003,2,Summer
171,2003,3,Autumn
172,2003,4,Autumn
173,2003,5,Autumn
174,2003,6,Winter
175,2003,7,Winter
176,2003,8,Winter
177,2003,9,Spring
178,2003,10,Spring
179,2003,11,Spring
180,2003,12,Summer
181,2004,1,Summer
182,2004,2,Summer
183,2004,3,Autumn
184,2004,4,Autumn
185,2004,5,Autumn
186,2004,6,Winter
187,2004,7,Winter
188,2004,8,Winter
189,2004,9,Spring
190,2004,10,Spring
191,2004,11,Spring
192,2004,12,Summer
193,2005,1,Summer
194,2005,2,Summer
195,2005,3,Autumn
196,2005,4,Autumn
197,2005,5,Autumn
198,2005,6,Winter
199,2005,7,Winter
200,2005,8,Winter
201,2005,9,Spring
202,2005,10,Spring
203,2005,11,Spring
204,2005,12,Summer
205,2006,1,Summer
206,2006,2,Summer
207,2006,3,Autumn
208,2006,4,Autumn
209,2006,5,Autumn
210,2006,6,Winter
211,2006,7,Winter
212,2006,8,Winter
213,2006,9,Spring
214,2006,10,Spring
215,2006,11,Spring
216,2006,12,Summer
217,2007,1,Summer
218,2007,2,Summer
219,2007,3,Autumn
220,2007,4,Autumn
221,2007,5,Autumn
222,2007,6,Winter
223,2007,7,Winter
224,2007,8,Winter
225,2007,9,Spring
226,2007,10,Spring
227,2007,11,Spring
228,2007,12,Summer
229,2008,1,Summer
230,2008,2,Summer
231,2008,3,Autumn
232,2008,4,Autumn
233,2008,5,Autumn
234,2008,6,Winter
235,2008,7,Winter
236,2008,8,Winter
237,2008,9,Spring
238,2008,10,Spring
239,2008,11,Spring
240,2008,12,Summer
241,2009,1,Summer
242,2009,2,Summer
243,2009,3,Autumn
244,2009,4,Autumn
245,2009,5,Autumn
246,2009,6,Winter
247,2009,7,Winter
248,2009,8,Winter
249,2009,9,Spring
250,2009,10,Spring
251,2009,11,Spring
252,2009,12,Summer
253,2010,1,Summer
254,2010,2,Summer
255,2010,3,Autumn
256,2010,4,Autumn
257,2010,5,Autumn
258,2010,6,Winter
259,2010,7,Winter
260,2010,8,Winter
261,2010,9,Spring
262,2010,10,Spring
263,2010,11,Spring
264,2010,12,Summer
265,2011,1,Summer
266,2011,2,Summer
267,2011,3,Autumn
268,2011,4,Autumn
269,2011,5,Autumn
270,2011,6,Winter
271,2011,7,Winter
272,2011,8,Winter
273,2011,9,Spring
274,2011,10,Spring
275,2011,11,Spring
276,2011,12,Summer
277,2012,1,Summer
278,2012,2,Summer
279,2012,3,Autumn
280,2012,4,Autumn
281,2012,5,Autumn
282,2012,6,Winter
283,2012,7,Winter
284,2012,8,Winter
285,2012,9,Spring
286,2012,10,Spring
287,2012,11,Spring
288,2012,12,Summer
289,2013,1,Summer
290,2013,2,Summer
291,2013,3,Autumn
292,2013,4,Autumn
293,2013,5,Autumn
294,2013,6,Winter
295,2013,7,Winter
296,2013,8,Winter
297,2013,9,Spring
298,2013,10,Spring
299,2013,11,Spring
300,2013,12,Summer
301,2014,1,Summer
302,2014,2,Summer
303,2014,3,Autumn
304,2014,4,Autumn
305,2014,5,Autumn
306,2014,6,Winter
307,2014,7,Winter
308,2014,8,Winter
309,2014,9,Spring
310,2014,10,Spring
311,2014,11,Spring
312,2014,12,Summer
313,2015,1,Summer
314,2015,2,Summer
315,2015,3,Autumn
316,2015,4,Autumn
317,2015,5,Autumn
318,2015,6,Winter
319,2015,7,Winter
320,2015,8,Winter
321,2015,9,Spring
322,2015,10,Spring
323,2015,11,Spring
324,2015,12,Summer
325,2016,1,Summer
326,2016,2,Summer
327,2016,3,Autumn
328,2016,4,Autumn
329,2016,5,Autumn
330,2016,6,Winter
331,2016,7,Winter
332,2016,8,Winter
333,2016,9,Spring
334,2016,10,Spring
335,2016,11,Spring
336,2016,12,Summer
337,2017,1,Summer
338,2017,2,Summer
339,2017,3,Autumn
340,2017,4,Autumn
341,2017,5,Autumn
342,2017,6,Winter
343,2017,7,Winter
344,2017,8,Winter
345,2017,9,Spring
346,2017,10,Spring
347,2017,11,Spring
348,2017,12,Summer
349,2018,1,Summer
350,2018,2,Summer
351,2018,3,Autumn
352,2018,4,Autumn
353,2018,5,Autumn
354,2018,6,Winter
355,2018,7,Winter
356,2018,8,Winter
357,2018,9,Spring
358,2018,10,Spring
359,2018,11,Spring
360,2018,12,Summer
361,2019,1,Summer
362,2019,2,Summer
363,2019,3,Autumn
364,2019,4,Autumn
365,2019,5,Autumn
366,2019,6,Winter
367,2019,7,Winter
368,2019,8,Winter
369,2019,9,Spring
370,2019,10,Spring
371,2019,11,Spring
372,2019,12,Summer
373,2020,1,Summer
374,2020,2,Summer
375,2020,3,Autumn
376,2020,4,Autumn
377,2020,5,Autumn
378,2020,6,Winter
379,2020,7,Winter
380,2020,8,Winter
381,2020,9,Spring
382,2020,10,Spring
383,2020,11,Spring
384,2020,12,Summer
385,2021,1,Summer
386,2021,2,Summer
387,2021,3,Autumn
388,2021,4,Autumn
389,2021,5,Autumn
390,2021,6,Winter
391,2021,7,Winter
392,2021,8,Winter
393,2021,9,Spring
394,2021,10,Spring
395,2021,11,Spring
396,2021,12,Summer
397,2022,1,Summer
398,2022,2,Summer
399,2022,3,Autumn
400,2022,4,Autumn
401,2022,5,Autumn
402,2022,6,Winter
403,2022,7,Winter
404,2022,8,Winter
405,2022,9,Spring
406,2022,10,Spring
407,2022,11,Spring
408,2022,12,Summer
409,2023,1,Summer
410,2023,2,Summer
411,2023,3,Autumn
412,2023,4,Autumn
413,2023,5,Autumn
414,2023,6,Winter
415,2023,7,Winter
416,2023,8,Winter
417,2023,9,Spring
418,2023,10,Spring
419,2023,11,Spring
420,2023,12,Summer
421,2024,1,Summer
422,2024,2,Summer
423,2024,3,Autumn
424,2024,4,Autumn
425,2024,5,Autumn
426,2024,6,Winter
427,2024,7,Winter
428,2024,8,Winter
429,2024,9,Spring
430,2024,10,Spring
431,2024,11,Spring
432,2024,12,Summer
